id,customer_name,mobile_number,order_date,regular_clothes_kg,blankets_kg,white_clothes_pieces,total_amount,created_at,receipt_number
11.0,ganesh bhujbal,9422318296,2025-07-30,2.45,0.0,0,122.5,2025-07-30 21:44:44,RW-20250730-0003
10.0,ab,45555,2025-07-30,252.0,0.0,0,12600.0,2025-07-30 19:16:27,RW-20250730-0002
9.0,Rohit Jdu,85458545855,2025-07-30,3.9,0.0,0,194.75,2025-07-30 19:15:57,RW-20250730-0001
8.0,Rahul sharma,9422318296,2025-07-30,2.9,0.0,0,144.75,2025-07-30 18:50:30,
1.0,Rahul Sharma,9876543210,2024-01-15,2.5,0.0,3,225.0,2025-07-30 18:08:57,
2.0,Priya Patel,8765432109,2024-01-16,1.0,1.5,0,200.0,2025-07-30 18:08:57,
3.0,Amit Kumar,7654321098,2024-01-17,3.0,0.0,5,350.0,2025-07-30 18:08:57,
4.0,Neha Singh,6543210987,2024-01-18,0.0,2.0,2,280.0,2025-07-30 18:08:57,
5.0,Rajesh Verma,5432109876,2024-01-19,1.5,0.5,1,135.0,2025-07-30 18:08:57,
,arohi keshav shirke,987456321,2025-07-30,8.952,0.0,0,447.6,,8888
,rahuk kadm,85858455,2025-07-30,5.956,0.0,0,297.8,,555
,nobita,0,2025-07-31,5.5,0.0,0,275.0,,502
,test ,785452,2025-07-31,0.0,0.0,8,320.0,,303
,test ,785452,2025-07-31,0.0,0.0,8,320.0,,303
